data_curva,dias_uteis,taxa_252
01/10/2025,1.0,14.9
01/10/2025,7.0,14.91
01/10/2025,12.0,14.91
01/10/2025,14.0,14.91
01/10/2025,15.0,14.91
01/10/2025,16.0,14.91
01/10/2025,21.0,14.91
01/10/2025,28.0,14.91
01/10/2025,29.0,14.91
01/10/2025,30.0,14.91
01/10/2025,33.0,14.91
01/10/2025,42.0,14.91
01/10/2025,47.0,14.9
01/10/2025,48.0,14.9
01/10/2025,49.0,14.9
01/10/2025,51.0,14.9
01/10/2025,56.0,14.9
01/10/2025,57.0,14.9
01/10/2025,58.0,14.9
01/10/2025,61.0,14.9
01/10/2025,72.0,14.9
01/10/2025,75.0,14.9
01/10/2025,76.0,14.9
01/10/2025,77.0,14.9
01/10/2025,78.0,14.9
01/10/2025,79.0,14.9
01/10/2025,83.0,14.9
01/10/2025,86.0,14.9
01/10/2025,89.0,14.9
01/10/2025,90.0,14.9
01/10/2025,93.0,14.9
01/10/2025,105.0,14.9
01/10/2025,106.0,14.9
01/10/2025,110.0,14.89
01/10/2025,112.0,14.89
01/10/2025,113.0,14.89
01/10/2025,120.0,14.89
01/10/2025,121.0,14.89
01/10/2025,124.0,14.89
01/10/2025,140.0,14.88
01/10/2025,141.0,14.87
01/10/2025,147.0,14.87
01/10/2025,148.0,14.87
01/10/2025,149.0,14.87
01/10/2025,152.0,14.87
01/10/2025,166.0,14.85
01/10/2025,168.0,14.84
01/10/2025,169.0,14.84
01/10/2025,170.0,14.84
01/10/2025,173.0,14.84
01/10/2025,180.0,14.83
01/10/2025,181.0,14.83
01/10/2025,182.0,14.83
01/10/2025,196.0,14.81
01/10/2025,197.0,14.81
01/10/2025,210.0,14.8
01/10/2025,211.0,14.79
01/10/2025,215.0,14.79
01/10/2025,224.0,14.76
01/10/2025,226.0,14.75
01/10/2025,232.0,14.74
01/10/2025,240.0,14.71
01/10/2025,243.0,14.71
01/10/2025,259.0,14.66
01/10/2025,261.0,14.65
01/10/2025,271.0,14.63
01/10/2025,272.0,14.63
01/10/2025,273.0,14.62
01/10/2025,287.0,14.58
01/10/2025,295.0,14.56
01/10/2025,300.0,14.55
01/10/2025,302.0,14.54
01/10/2025,303.0,14.54
01/10/2025,306.0,14.53
01/10/2025,315.0,14.5
01/10/2025,320.0,14.48
01/10/2025,330.0,14.45
01/10/2025,331.0,14.44
01/10/2025,334.0,14.44
01/10/2025,335.0,14.44
01/10/2025,349.0,14.39
01/10/2025,350.0,14.38
01/10/2025,356.0,14.36
01/10/2025,362.0,14.35
01/10/2025,364.0,14.34
01/10/2025,365.0,14.33
01/10/2025,378.0,14.29
01/10/2025,390.0,14.25
01/10/2025,394.0,14.24
01/10/2025,411.0,14.19
01/10/2025,413.0,14.19
01/10/2025,414.0,14.18
01/10/2025,420.0,14.17
01/10/2025,425.0,14.16
01/10/2025,426.0,14.15
01/10/2025,441.0,14.11
01/10/2025,443.0,14.1
01/10/2025,453.0,14.08
01/10/2025,455.0,14.07
01/10/2025,460.0,14.06
01/10/2025,471.0,14.03
01/10/2025,481.0,14.0
01/10/2025,485.0,13.99
01/10/2025,502.0,13.96
01/10/2025,504.0,13.95
01/10/2025,510.0,13.94
01/10/2025,513.0,13.93
01/10/2025,540.0,13.87
01/10/2025,546.0,13.86
01/10/2025,547.0,13.86
01/10/2025,560.0,13.82
01/10/2025,572.0,13.8
01/10/2025,593.0,13.75
01/10/2025,600.0,13.73
01/10/2025,623.0,13.69
01/10/2025,630.0,13.67
01/10/2025,638.0,13.66
01/10/2025,660.0,13.62
01/10/2025,670.0,13.6
01/10/2025,684.0,13.58
01/10/2025,686.0,13.58
01/10/2025,691.0,13.57
01/10/2025,714.0,13.54
01/10/2025,720.0,13.53
01/10/2025,721.0,13.53
01/10/2025,730.0,13.51
01/10/2025,742.0,13.5
01/10/2025,750.0,13.48
01/10/2025,776.0,13.45
01/10/2025,782.0,13.44
01/10/2025,805.0,13.41
01/10/2025,810.0,13.4
01/10/2025,824.0,13.38
01/10/2025,840.0,13.36
01/10/2025,867.0,13.34
01/10/2025,870.0,13.34
01/10/2025,896.0,13.32
01/10/2025,901.0,13.31
01/10/2025,915.0,13.3
01/10/2025,930.0,13.3
01/10/2025,957.0,13.29
01/10/2025,960.0,13.29
01/10/2025,992.0,13.28
01/10/2025,1006.0,13.28
01/10/2025,1020.0,13.28
01/10/2025,1049.0,13.28
